CustomerID,Cluster
C0001,4
C0002,0
C0003,4
C0004,2
C0005,0
C0006,1
C0007,1
C0008,2
C0009,0
C0010,0
C0011,4
C0012,2
C0013,2
C0014,0
C0015,0
C0016,3
C0017,2
C0018,1
C0019,4
C0020,0
C0021,2
C0022,4
C0023,1
C0024,4
C0025,0
C0026,1
C0027,0
C0028,2
C0029,0
C0030,4
C0031,0
C0032,0
C0033,3
C0034,4
C0035,4
C0036,0
C0037,1
C0038,4
C0039,4
C0040,1
C0041,2
C0042,3
C0043,0
C0044,1
C0045,2
C0046,2
C0047,4
C0048,4
C0049,4
C0050,1
C0051,2
C0052,4
C0053,2
C0054,2
C0055,4
C0056,4
C0057,4
C0058,0
C0059,2
C0060,3
C0061,0
C0062,0
C0063,0
C0064,4
C0065,2
C0066,1
C0067,4
C0068,2
C0069,4
C0070,4
C0071,3
C0072,4
C0073,0
C0074,1
C0075,2
C0076,4
C0077,0
C0078,3
C0079,1
C0080,0
C0081,4
C0082,1
C0083,0
C0084,2
C0085,1
C0086,4
C0087,2
C0088,3
C0089,1
C0090,4
C0091,4
C0092,4
C0093,2
C0094,0
C0095,0
C0096,1
C0097,0
C0098,4
C0099,2
C0100,2
C0101,2
C0102,2
C0103,4
C0104,2
C0105,2
C0106,4
C0107,4
C0108,2
C0109,2
C0110,0
C0111,4
C0112,3
C0113,2
C0114,1
C0115,1
C0116,4
C0117,1
C0118,4
C0119,0
C0120,0
C0121,0
C0122,2
C0123,3
C0124,4
C0125,4
C0126,4
C0127,4
C0128,0
C0129,3
C0130,3
C0131,0
C0132,3
C0133,4
C0134,4
C0135,4
C0136,4
C0137,4
C0138,1
C0139,4
C0140,3
C0141,2
C0142,0
C0143,2
C0144,0
C0145,2
C0146,3
C0147,4
C0148,1
C0149,1
C0150,3
C0151,3
C0152,4
C0153,1
C0154,4
C0155,2
C0156,2
C0157,0
C0158,1
C0159,0
C0160,4
C0161,4
C0162,2
C0163,1
C0164,4
C0165,2
C0166,3
C0167,3
C0168,1
C0169,4
C0170,1
C0171,1
C0172,4
C0173,2
C0174,4
C0175,2
C0176,0
C0177,3
C0178,0
C0179,4
C0181,4
C0182,1
C0183,4
C0184,4
C0185,1
C0186,3
C0187,1
C0188,2
C0189,4
C0190,3
C0191,4
C0192,0
C0193,4
C0194,4
C0195,4
C0196,1
C0197,0
C0198,3
C0199,3
C0200,1
